code,date,ret_pct
600050.SH,2017-03-31,6.2589
600050.SH,2017-04-30,0
600050.SH,2017-05-31,0
600050.SH,2017-06-30,0
600050.SH,2017-07-31,0
600050.SH,2017-08-31,7.6305
600050.SH,2017-09-30,-7.7114
600050.SH,2017-10-31,2.965
600050.SH,2017-11-30,-8.9005
600050.SH,2017-12-31,-9.0517
600050.SH,2018-01-31,10.2686
600050.SH,2018-02-28,-8.0229
600050.SH,2018-03-31,-10.1246
600050.SH,2018-04-30,-1.0399
600050.SH,2018-05-31,-4.9037
600050.SH,2018-06-30,-9.0147
600050.SH,2018-07-31,5.8943
600050.SH,2018-08-31,7.6775
600050.SH,2018-09-30,-0.713
600050.SH,2018-10-31,-2.693
600050.SH,2018-11-30,-2.583
600050.SH,2018-12-31,-2.0833
600050.SH,2019-01-31,2.7079
600050.SH,2019-02-28,21.0923
600050.SH,2019-03-31,5.5988
600050.SH,2019-04-30,-1.7673
600050.SH,2019-05-31,-11.0945
600050.SH,2019-06-30,4.7273
600050.SH,2019-07-31,-3.7338
600050.SH,2019-08-31,-1.3491
600050.SH,2019-09-30,2.735
600050.SH,2019-10-31,2.1631
600050.SH,2019-11-30,-7.0033
600050.SH,2019-12-31,3.1524
600050.SH,2020-01-31,-4.0747
600050.SH,2020-02-29,-3.0088
600050.SH,2020-03-31,-4.7445
600050.SH,2020-04-30,0
600050.SH,2020-05-31,-4.9808
600050.SH,2020-06-30,-1.2245
600050.SH,2020-07-31,4.9587
600050.SH,2020-08-31,2.1654
600050.SH,2020-09-30,-6.5511
600050.SH,2020-10-31,-1.6495
600050.SH,2020-11-30,2.7254
600050.SH,2020-12-31,-8.9796
600060.SH,2016-01-31,-28.0122
600060.SH,2016-02-29,-9.0395
600060.SH,2016-03-31,29.1925
600060.SH,2016-04-30,1.4423
600060.SH,2016-05-31,-4.9763
600060.SH,2016-06-30,10.2244
600060.SH,2016-07-31,2.8304
600060.SH,2016-08-31,-2.9164
600060.SH,2016-09-30,-3.8706
600060.SH,2016-10-31,2.5841
600060.SH,2016-11-30,5.4482
600060.SH,2016-12-31,-4.8889
600060.SH,2017-01-31,1.8692
600060.SH,2017-02-28,8.0849
600060.SH,2017-03-31,-4.0318
600060.SH,2017-04-30,-5.1962
600060.SH,2017-05-31,-17.4927
600060.SH,2017-06-30,7.2085
600060.SH,2017-07-31,-2.3497
600060.SH,2017-08-31,0.6949
600060.SH,2017-09-30,8.4196
600060.SH,2017-10-31,-3.5646
600060.SH,2017-11-30,0.33
600060.SH,2017-12-31,-1.1842
600060.SH,2018-01-31,4.7936
600060.SH,2018-02-28,-0.8259
600060.SH,2018-03-31,-0.8969
600060.SH,2018-04-30,-13.51
600060.SH,2018-05-31,10.9118
600060.SH,2018-06-30,-9.7709
600060.SH,2018-07-31,-14.481
600060.SH,2018-08-31,-11.6341
600060.SH,2018-09-30,2.0101
600060.SH,2018-10-31,-16.0591
600060.SH,2018-11-30,6.8075
600060.SH,2018-12-31,-4.6154
600060.SH,2019-01-31,-4.7235
600060.SH,2019-02-28,16.8077
600060.SH,2019-03-31,8.9027
600060.SH,2019-04-30,-10.2662
600060.SH,2019-05-31,-12.9237
600060.SH,2019-06-30,4.8662
600060.SH,2019-07-31,-0.1527
600060.SH,2019-08-31,-10.2113
600060.SH,2019-09-30,6.1438
600060.SH,2019-10-31,13.0542
600060.SH,2019-11-30,3.9216
600060.SH,2019-12-31,13.7317
600060.SH,2020-01-31,15.023
600060.SH,2020-02-29,0.8814
600060.SH,2020-03-31,-25.4964
600060.SH,2020-04-30,17.8038
600060.SH,2020-05-31,23.8914
600060.SH,2020-06-30,-11.2491
600060.SH,2020-07-31,14.5533
600060.SH,2020-08-31,6.8215
600060.SH,2020-09-30,-11.8207
600060.SH,2020-10-31,-3.0046
600060.SH,2020-11-30,-11.4376
600060.SH,2020-12-31,2.9596
600066.SH,2016-01-31,-16.9409
600066.SH,2016-02-29,1.1777
600066.SH,2016-03-31,2.5397
600066.SH,2016-04-30,5.8308
600066.SH,2016-05-31,2.621
600066.SH,2016-06-30,1.0204
600066.SH,2016-07-31,16.0101
600066.SH,2016-08-31,-5.8337
600066.SH,2016-09-30,1.988
600066.SH,2016-10-31,-2.3119
600066.SH,2016-11-30,-2.3202
600066.SH,2016-12-31,-6.9359
600066.SH,2017-01-31,3.4201
600066.SH,2017-02-28,0.2468
600066.SH,2017-03-31,5.7607
600066.SH,2017-04-30,-6.2384
600066.SH,2017-05-31,1.2413
600066.SH,2017-06-30,12.6355
600066.SH,2017-07-31,0.6372
600066.SH,2017-08-31,-6.0154
600066.SH,2017-09-30,18.3831
600066.SH,2017-10-31,3.4146
600066.SH,2017-11-30,-6.4858
600066.SH,2017-12-31,1.177
600066.SH,2018-01-31,-8.9323
600066.SH,2018-02-28,5.8394
600066.SH,2018-03-31,-3.6207
600066.SH,2018-04-30,-8.4079
600066.SH,2018-05-31,7.3242
600066.SH,2018-06-30,-12.6934
600066.SH,2018-07-31,-9.9198
600066.SH,2018-08-31,-9.8214
600066.SH,2018-09-30,-3.1683
600066.SH,2018-10-31,-27.3347
600066.SH,2018-11-30,5.6285
600066.SH,2018-12-31,5.2398
600066.SH,2019-01-31,-2.3629
600066.SH,2019-02-28,21.694
600066.SH,2019-03-31,-4.6165
600066.SH,2019-04-30,6.478
600066.SH,2019-05-31,-9.2113
